YEAR,TEAM NO,TEAM,SEED,ROUND,EASY DRAW,TOUGH DRAW,DARK HORSE,UPSET ALERT,CINDERELLA
2018,723,Florida St.,9,8,TRUE,FALSE,FALSE,FALSE,FALSE
2018,721,Gonzaga,4,16,TRUE,FALSE,FALSE,FALSE,FALSE
2018,703,North Carolina,2,32,TRUE,FALSE,FALSE,FALSE,FALSE
2018,700,Ohio St.,5,32,TRUE,FALSE,FALSE,FALSE,FALSE
2018,692,Seton Hall,8,32,TRUE,FALSE,FALSE,FALSE,FALSE
2018,686,Tennessee,3,32,TRUE,FALSE,FALSE,FALSE,FALSE
2018,684,Texas A&M,7,16,TRUE,FALSE,FALSE,FALSE,FALSE
2018,683,Texas Southern,16,64,TRUE,FALSE,FALSE,FALSE,FALSE
2018,673,Wright St.,14,64,TRUE,FALSE,FALSE,FALSE,FALSE
2018,734,Bucknell,14,64,FALSE,TRUE,FALSE,FALSE,FALSE
2018,726,Davidson,12,64,FALSE,TRUE,FALSE,FALSE,FALSE
2018,719,Iona,15,64,FALSE,TRUE,FALSE,FALSE,FALSE
2018,716,Kentucky,5,16,FALSE,FALSE,TRUE,FALSE,FALSE
2018,732,Butler,10,32,TRUE,FALSE,TRUE,FALSE,FALSE
2018,729,Clemson,5,16,FALSE,FALSE,FALSE,TRUE,FALSE
2018,718,Kansas,1,4,FALSE,FALSE,FALSE,TRUE,FALSE
2018,672,Xavier,1,32,FALSE,FALSE,FALSE,TRUE,FALSE
2018,704,New Mexico St.,12,64,TRUE,FALSE,FALSE,FALSE,TRUE
2018,698,Penn,16,64,TRUE,FALSE,FALSE,FALSE,TRUE
2017,667,Butler,4,16,TRUE,FALSE,FALSE,FALSE,FALSE
2017,638,North Carolina,1,1,TRUE,FALSE,FALSE,FALSE,FALSE
2017,606,Winthrop,13,64,TRUE,FALSE,FALSE,FALSE,FALSE
2017,664,Dayton,7,64,FALSE,TRUE,FALSE,FALSE,FALSE
2017,661,Florida,4,8,FALSE,TRUE,FALSE,FALSE,FALSE
2017,657,Iona,14,64,FALSE,TRUE,FALSE,FALSE,FALSE
2017,654,Kansas,1,8,FALSE,TRUE,FALSE,FALSE,FALSE
2017,653,Kansas St.,11,64,FALSE,TRUE,FALSE,FALSE,FALSE
2017,646,Michigan,7,16,FALSE,TRUE,FALSE,FALSE,FALSE
2017,632,Oklahoma St.,10,64,FALSE,TRUE,FALSE,FALSE,FALSE
2017,628,Purdue,4,16,FALSE,TRUE,FALSE,FALSE,FALSE
2017,617,UNC Wilmington,12,64,FALSE,TRUE,FALSE,FALSE,FALSE
2017,616,USC,11,32,FALSE,TRUE,FALSE,FALSE,FALSE
2017,614,VCU,10,64,FALSE,TRUE,FALSE,FALSE,FALSE
2017,610,Virginia Tech,9,64,FALSE,TRUE,FALSE,FALSE,FALSE
2017,626,Saint Mary's,7,32,FALSE,FALSE,TRUE,FALSE,FALSE
2017,624,SMU,6,64,FALSE,FALSE,TRUE,FALSE,FALSE
2017,611,Virginia,5,32,FALSE,FALSE,TRUE,FALSE,FALSE
2017,607,Wichita St.,10,32,FALSE,FALSE,TRUE,FALSE,FALSE
2017,605,Wisconsin,8,16,FALSE,FALSE,TRUE,FALSE,FALSE
2017,648,Maryland,6,64,FALSE,FALSE,FALSE,TRUE,FALSE
2017,643,Minnesota,5,64,FALSE,FALSE,FALSE,TRUE,FALSE
2017,644,Middle Tennessee,12,32,TRUE,FALSE,FALSE,FALSE,TRUE
2017,604,Xavier,11,8,TRUE,FALSE,FALSE,FALSE,TRUE
2016,599,Butler,9,32,TRUE,FALSE,FALSE,FALSE,FALSE
2016,593,Connecticut,9,32,TRUE,FALSE,FALSE,FALSE,FALSE
2016,583,Holy Cross,16,64,TRUE,FALSE,FALSE,FALSE,FALSE
2016,580,Iowa,7,32,TRUE,FALSE,FALSE,FALSE,FALSE
2016,569,Northern Iowa,11,32,TRUE,FALSE,FALSE,FALSE,FALSE
2016,567,Oklahoma,2,4,TRUE,FALSE,FALSE,FALSE,FALSE
2016,553,Texas,6,64,TRUE,FALSE,FALSE,FALSE,FALSE
2016,552,Texas A&M,3,16,TRUE,FALSE,FALSE,FALSE,FALSE
2016,544,VCU,10,32,TRUE,FALSE,FALSE,FALSE,FALSE
2016,597,California,4,64,FALSE,TRUE,FALSE,FALSE,FALSE
2016,596,Chattanooga,12,64,FALSE,TRUE,FALSE,FALSE,FALSE
2016,594,Colorado,8,64,FALSE,TRUE,FALSE,FALSE,FALSE
2016,571,Middle Tennessee,15,32,FALSE,TRUE,FALSE,FALSE,FALSE
2016,559,South Dakota St.,12,64,FALSE,TRUE,FALSE,FALSE,FALSE
2016,556,Stony Brook,13,64,FALSE,TRUE,FALSE,FALSE,FALSE
2016,546,Utah,3,32,FALSE,TRUE,FALSE,FALSE,FALSE
2016,587,Gonzaga,11,16,FALSE,FALSE,TRUE,FALSE,FALSE
2016,575,Maryland,5,16,FALSE,FALSE,TRUE,FALSE,FALSE
2016,568,Notre Dame,6,8,FALSE,FALSE,TRUE,FALSE,FALSE
2016,562,Purdue,5,64,FALSE,FALSE,TRUE,FALSE,FALSE
2016,538,Wisconsin,7,16,FALSE,FALSE,TRUE,FALSE,FALSE
2016,595,Cincinnati,9,64,TRUE,FALSE,TRUE,FALSE,FALSE
2016,603,Arizona,6,64,FALSE,TRUE,TRUE,FALSE,FALSE
2016,539,Wichita St.,11,32,FALSE,TRUE,TRUE,FALSE,FALSE
2016,537,Xavier,2,32,FALSE,FALSE,FALSE,TRUE,FALSE
2016,566,Oregon,1,8,TRUE,FALSE,FALSE,TRUE,FALSE
2016,560,Seton Hall,6,64,FALSE,TRUE,FALSE,TRUE,FALSE
2016,540,West Virginia,3,64,FALSE,TRUE,FALSE,TRUE,FALSE
2016,598,Cal St. Bakersfield,15,64,FALSE,FALSE,FALSE,FALSE,TRUE
2016,557,Stephen F. Austin,14,32,FALSE,FALSE,FALSE,FALSE,TRUE
2016,541,Weber St.,15,64,TRUE,FALSE,FALSE,FALSE,TRUE
2015,529,Buffalo,12,64,TRUE,FALSE,FALSE,FALSE,FALSE
2015,510,Kentucky,1,4,TRUE,FALSE,FALSE,FALSE,FALSE
2015,508,Louisville,4,8,TRUE,FALSE,FALSE,FALSE,FALSE
2015,531,Belmont,15,64,FALSE,TRUE,FALSE,FALSE,FALSE
2015,525,Coastal Carolina,16,64,FALSE,TRUE,FALSE,FALSE,FALSE
2015,519,Georgia,10,64,FALSE,TRUE,FALSE,FALSE,FALSE
2015,516,Hampton,16,64,FALSE,TRUE,FALSE,FALSE,FALSE
2015,514,Indiana,10,64,FALSE,TRUE,FALSE,FALSE,FALSE
2015,511,Kansas,2,32,FALSE,TRUE,FALSE,FALSE,FALSE
2015,485,St. John's,9,64,FALSE,TRUE,FALSE,FALSE,FALSE
2015,482,Texas Southern,15,64,FALSE,TRUE,FALSE,FALSE,FALSE
2015,476,VCU,7,64,FALSE,TRUE,FALSE,FALSE,FALSE
2015,504,Michigan St.,7,4,FALSE,FALSE,TRUE,FALSE,FALSE
2015,494,Ohio St.,10,32,FALSE,FALSE,TRUE,FALSE,FALSE
2015,483,Texas,11,64,FALSE,FALSE,TRUE,FALSE,FALSE
2015,478,Utah,5,16,FALSE,FALSE,TRUE,FALSE,FALSE
2015,472,Wichita St.,7,16,FALSE,FALSE,TRUE,FALSE,FALSE
2015,505,Maryland,4,32,FALSE,FALSE,FALSE,TRUE,FALSE
2015,532,Baylor,3,64,FALSE,TRUE,FALSE,TRUE,FALSE
2015,528,Butler,6,32,FALSE,TRUE,FALSE,TRUE,FALSE
2015,518,Georgia St.,14,32,FALSE,FALSE,FALSE,FALSE,TRUE
2015,477,Valparaiso,13,64,TRUE,FALSE,FALSE,FALSE,TRUE
2014,463,Baylor,6,16,TRUE,FALSE,FALSE,FALSE,FALSE
2014,459,Coastal Carolina,16,64,TRUE,FALSE,FALSE,FALSE,FALSE
2014,456,Creighton,3,32,TRUE,FALSE,FALSE,FALSE,FALSE
2014,438,Memphis,8,32,TRUE,FALSE,FALSE,FALSE,FALSE
2014,435,Michigan St.,4,8,TRUE,FALSE,FALSE,FALSE,FALSE
2014,434,Milwaukee,15,64,TRUE,FALSE,FALSE,FALSE,FALSE
2014,426,North Dakota St.,12,32,TRUE,FALSE,FALSE,FALSE,FALSE
2014,407,Villanova,2,32,TRUE,FALSE,FALSE,FALSE,FALSE
2014,465,Arizona,1,8,FALSE,TRUE,FALSE,FALSE,FALSE
2014,458,Colorado,8,64,FALSE,TRUE,FALSE,FALSE,FALSE
2014,455,Dayton,11,8,FALSE,TRUE,FALSE,FALSE,FALSE
2014,454,Delaware,13,64,FALSE,TRUE,FALSE,FALSE,FALSE
2014,449,Gonzaga,8,32,FALSE,TRUE,FALSE,FALSE,FALSE
2014,444,Kansas St.,9,64,FALSE,TRUE,FALSE,FALSE,FALSE
2014,440,Manhattan,13,64,FALSE,TRUE,FALSE,FALSE,FALSE
2014,437,Mercer,14,32,FALSE,TRUE,FALSE,FALSE,FALSE
2014,416,Stanford,10,16,FALSE,TRUE,FALSE,FALSE,FALSE
2014,443,Kentucky,8,2,FALSE,FALSE,TRUE,FALSE,FALSE
2014,429,North Carolina,6,32,FALSE,FALSE,TRUE,FALSE,FALSE
2014,425,Ohio St.,6,64,FALSE,FALSE,TRUE,FALSE,FALSE
2014,421,Pittsburgh,9,32,FALSE,FALSE,TRUE,FALSE,FALSE
2014,457,Connecticut,7,1,TRUE,FALSE,TRUE,FALSE,FALSE
2014,414,Tennessee,11,16,TRUE,FALSE,TRUE,FALSE,FALSE
2014,423,Oklahoma St.,9,64,FALSE,TRUE,TRUE,FALSE,FALSE
2014,446,Iowa St.,3,16,FALSE,FALSE,FALSE,TRUE,FALSE
2014,417,San Diego St.,4,16,FALSE,FALSE,FALSE,TRUE,FALSE
2014,406,Virginia,1,16,FALSE,FALSE,FALSE,TRUE,FALSE
2014,402,Wisconsin,2,4,FALSE,FALSE,FALSE,TRUE,FALSE
2014,460,Cincinnati,5,64,FALSE,TRUE,FALSE,TRUE,FALSE
2014,439,Massachusetts,6,64,FALSE,TRUE,FALSE,TRUE,FALSE
2014,418,Saint Louis,5,32,FALSE,TRUE,FALSE,TRUE,FALSE
2014,403,Wichita St.,1,32,FALSE,TRUE,FALSE,TRUE,FALSE
2014,430,New Mexico St.,13,64,FALSE,FALSE,FALSE,FALSE,TRUE
2014,428,North Carolina Central,14,64,FALSE,FALSE,FALSE,FALSE,TRUE
2014,466,American,15,64,TRUE,FALSE,FALSE,FALSE,TRUE
2013,394,Bucknell,11,64,TRUE,FALSE,FALSE,FALSE,FALSE
2013,381,Harvard,14,32,TRUE,FALSE,FALSE,FALSE,FALSE
2013,341,Syracuse,4,4,TRUE,FALSE,FALSE,FALSE,FALSE
2013,389,Colorado St.,8,32,FALSE,TRUE,FALSE,FALSE,FALSE
2013,382,Gonzaga,1,32,FALSE,TRUE,FALSE,FALSE,FALSE
2013,375,Kansas,1,16,FALSE,TRUE,FALSE,FALSE,FALSE
2013,368,Memphis,6,32,FALSE,TRUE,FALSE,FALSE,FALSE
2013,365,Michigan St.,3,16,FALSE,TRUE,FALSE,FALSE,FALSE
2013,360,Montana,13,64,FALSE,TRUE,FALSE,FALSE,FALSE
2013,354,Northwestern St.,14,64,FALSE,TRUE,FALSE,FALSE,FALSE
2013,343,South Dakota St.,13,64,FALSE,TRUE,FALSE,FALSE,FALSE
2013,340,Temple,9,32,FALSE,TRUE,FALSE,FALSE,FALSE
2013,338,UNLV,5,64,FALSE,TRUE,FALSE,FALSE,FALSE
2013,335,Villanova,9,64,FALSE,TRUE,FALSE,FALSE,FALSE
2013,333,Wichita St.,9,4,FALSE,TRUE,FALSE,FALSE,FALSE
2013,397,Arizona,6,16,FALSE,FALSE,TRUE,FALSE,FALSE
2013,361,Missouri,9,64,FALSE,FALSE,TRUE,FALSE,FALSE
2013,355,North Carolina St.,8,64,FALSE,FALSE,TRUE,FALSE,FALSE
2013,347,Pittsburgh,8,64,FALSE,FALSE,TRUE,FALSE,FALSE
2013,332,Wisconsin,5,64,FALSE,FALSE,TRUE,FALSE,FALSE
2013,390,Colorado,10,64,TRUE,FALSE,TRUE,FALSE,FALSE
2013,357,North Carolina,8,32,TRUE,FALSE,TRUE,FALSE,FALSE
2013,369,Marquette,3,8,FALSE,FALSE,FALSE,TRUE,FALSE
2013,367,Miami FL,2,16,FALSE,FALSE,FALSE,TRUE,FALSE
2013,350,Oklahoma St.,5,64,FALSE,FALSE,FALSE,TRUE,FALSE
2013,346,Saint Louis,4,32,FALSE,FALSE,FALSE,TRUE,FALSE
2013,383,Georgetown,2,64,FALSE,TRUE,FALSE,TRUE,FALSE
2013,374,Kansas St.,4,64,FALSE,TRUE,FALSE,TRUE,FALSE
2013,339,UCLA,6,64,FALSE,TRUE,FALSE,TRUE,FALSE
2013,336,VCU,5,32,FALSE,TRUE,FALSE,TRUE,FALSE
2013,373,La Salle,13,16,FALSE,FALSE,FALSE,FALSE,TRUE
2013,387,Davidson,14,64,TRUE,FALSE,FALSE,FALSE,TRUE
2013,384,Florida Gulf Coast,15,16,TRUE,FALSE,FALSE,FALSE,TRUE
2013,358,New Mexico St.,13,64,TRUE,FALSE,FALSE,FALSE,TRUE
2013,349,Oregon,12,16,TRUE,FALSE,FALSE,FALSE,TRUE
2013,348,Pacific,15,64,TRUE,FALSE,FALSE,FALSE,TRUE
