YEAR,TEAM NO,TEAM,SEED,ROUND,TR RANK,TR RATING,V 1-25 WINS,V 1-25 LOSS,V 26-50 WINS,V 26-50 LOSS,V 51-100 WINS,V 51-100 LOSS,HI,LO,LAST
2024,1014,Western Kentucky,15,64,171,-0.7,0,0,0,0,1,0,144,328,171
2024,1013,Wisconsin,5,64,24,15.5,2,3,4,0,3,0,18,87,24
2024,1012,Yale,13,32,91,6.4,0,0,0,0,1,0,60,211,91
2023,1011,Alabama,1,16,1,26.5,2,0,2,0,4,0,1,43,1
2023,1010,Arizona,2,64,10,18.1,2,0,3,1,1,1,3,21,10
2023,1009,Arizona St.,11,64,77,8.5,0,2,2,2,2,1,40,287,77
2023,1008,Arkansas,8,16,14,17.1,1,2,1,0,1,1,10,76,14
2023,1007,Auburn,9,32,28,14.2,2,2,1,0,3,0,11,78,28
2023,1006,Baylor,3,32,9,18.2,3,3,2,0,3,0,1,18,9
2023,1005,Boise St.,10,64,51,11.6,0,0,2,0,3,0,49,221,51
2023,1004,Colgate,15,64,142,2.2,0,0,0,0,0,1,110,263,142
2023,1003,College of Charleston,12,64,59,10.7,0,0,1,0,1,1,59,154,59
2023,1002,Connecticut,4,1,7,19.5,1,0,3,1,3,1,4,50,7
2023,1001,Creighton,6,8,8,19,1,0,2,1,4,1,8,117,8
2023,1000,Drake,12,64,58,10.8,0,0,1,0,1,0,55,126,58
2023,999,Duke,5,32,19,16,0,0,4,0,3,0,4,20,19
2023,998,Fairleigh Dickinson,16,32,302,-8.4,0,0,0,0,0,0,245,355,302
2023,997,Florida Atlantic,9,4,53,11.4,0,0,0,0,1,0,30,292,53
2023,996,Furman,13,32,116,4.2,0,0,0,0,0,0,74,284,116
2023,995,Gonzaga,3,8,6,19.5,1,0,0,0,2,0,1,28,6
2023,994,Grand Canyon,14,64,98,5.8,0,0,0,0,0,1,56,119,98
2023,993,Houston,1,16,3,22,0,1,1,0,5,0,1,6,3
2023,992,Howard,16,64,187,-0.9,0,0,0,0,0,1,185,357,187
2023,991,Illinois,9,64,25,14.6,1,1,2,1,4,0,8,58,25
2023,990,Indiana,4,32,15,17,3,1,3,0,3,1,3,15,15
2023,989,Iona,13,64,47,11.9,0,0,0,0,1,0,4,137,47
2023,988,Iowa,8,64,17,16.5,5,0,2,0,2,2,6,40,17
2023,987,Iowa St.,6,64,13,17.3,5,0,0,2,2,1,4,46,13
2023,986,Kansas,1,32,18,16.3,5,1,2,0,4,0,10,79,18
2023,985,Kansas St.,3,8,11,17.6,4,1,3,0,3,0,11,76,11
2023,984,Kennesaw St.,14,64,130,3,0,0,0,0,2,0,76,239,130
2023,983,Kent St.,13,64,81,8,0,0,0,0,3,0,68,330,81
2023,982,Kentucky,6,32,23,14.9,2,2,3,0,0,1,2,37,23
2023,981,Louisiana Lafayette,13,64,90,7.2,0,0,0,0,1,0,78,170,90
2023,980,Marquette,2,32,33,13.8,3,0,2,0,4,1,19,122,33
2023,979,Maryland,8,32,22,15,3,1,2,0,4,0,22,85,22
2023,978,Memphis,8,64,66,9.9,1,1,1,0,2,1,32,182,65
2023,977,Miami FL,5,4,65,9.9,2,0,3,0,2,0,28,128,66
2023,976,Michigan St.,7,16,30,14,4,1,1,0,3,1,25,121,30
2023,975,Mississippi St.,11,68,64,10.4,2,3,0,1,1,0,21,77,64
2023,974,Missouri,7,32,72,9.3,3,3,0,0,2,0,50,290,72
2023,973,Montana St.,14,64,107,4.9,0,0,0,0,0,0,35,184,107
2023,972,Nevada,11,68,52,11.5,0,0,2,0,4,0,44,127,52
2023,971,North Carolina St.,11,64,44,12.2,1,0,1,1,2,1,4,75,44
2023,970,Northern Kentucky,16,64,168,0.6,0,0,1,0,0,1,160,355,167
2023,969,Northwestern,7,32,60,10.6,4,1,0,2,1,2,43,158,60
2023,968,Oral Roberts,12,64,94,6.5,0,0,0,0,1,0,75,339,94
2023,967,Penn St.,10,32,43,12.2,4,1,0,1,3,1,31,87,43
2023,966,Pittsburgh,11,32,70,9.5,0,0,2,2,2,0,53,269,70
2023,965,Princeton,15,16,152,1.4,0,0,1,1,0,1,139,310,168
