YEAR,TEAM NO,TEAM,SEED,ROUND,NET,KPI,SOR,WAB RANK,RESUME AVG,RESUME AVG RANK,BPI,KP,SAG,TRK,QUALITY AVG,QUALITY AVG RANK,Q1A W,Q1A L,Q1 W,Q1 L,Q2 W,Q2 L,Q1&2 W,Q1&2 L,Q3 W,Q3 L,Q4 W,Q4 L
2023,948,VCU,12,64,53,30,49,,39.5,40,56,58,45,,53,50,0,1,1,1,4,4,5,5,12,0,10,2
2023,947,Vermont,15,64,109,106,103,,104.5,102,97,113,104,,104.7,103,0,1,0,3,1,3,1,6,5,3,16,1
2023,946,Virginia,4,64,27,19,17,,18,19,22,34,29,,28.3,29,1,3,5,5,6,1,11,6,5,1,9,0
2023,945,West Virginia,9,64,25,33,30,,31.5,31,23,17,22,,20.7,18,1,11,6,13,6,1,12,14,1,0,6,0
2023,944,Xavier,3,16,22,24,12,,18,19,21,16,16,,17.7,16,4,5,8,6,5,1,13,7,4,2,8,0
2022,943,Akron,13,64,127,122,112,,117,116,102,131,132,,121.7,118,0,1,0,2,2,1,2,3,4,4,16,2
2022,942,Alabama,6,64,30,16,29,,22.5,22,21,25,23,,23,21,4,6,8,8,5,3,13,11,5,2,1,0
2022,941,Arizona,1,16,2,3,2,,2.5,2,3,2,2,,2.3,2,4,2,6,3,9,0,15,3,9,0,7,0
2022,940,Arkansas,4,8,20,18,16,,17,16,20,20,17,,19,19,5,2,7,6,5,1,12,7,6,1,7,0
2022,939,Auburn,2,32,11,6,6,,6,6,12,10,12,,11.3,12,3,3,8,5,7,0,15,5,8,0,4,0
2022,938,Baylor,1,32,4,2,4,,3,3,6,5,4,,5,5,4,4,10,5,8,1,18,6,2,0,6,0
2022,937,Boise St.,8,64,29,22,37,,29.5,28,55,26,38,,39.7,37,2,1,6,3,7,3,13,6,7,0,6,1
2022,936,Bryant,16,68,200,183,127,,155,156,169,183,202,,184.7,182,0,1,0,1,0,3,0,4,3,2,18,3
2022,935,Cal St. Fullerton,15,64,153,162,147,,154.5,155,175,149,159,,161,161,0,1,0,2,1,1,1,3,7,3,11,4
2022,934,Chattanooga,13,64,63,50,57,,53.5,55,64,72,85,,73.7,76,0,1,1,2,3,0,4,2,11,2,10,3
2022,933,Colgate,14,64,128,190,153,,171.5,168,109,119,133,,120.3,117,0,0,0,2,1,0,1,2,1,6,20,3
2022,932,Colorado St.,6,64,28,15,27,,21,19,80,31,37,,49.3,48,1,2,5,3,8,1,13,4,3,1,8,0
2022,931,Connecticut,5,64,17,23,22,,22.5,22,18,18,16,,17.3,17,2,4,5,6,8,3,13,9,3,0,7,0
2022,930,Creighton,9,32,55,27,34,,30.5,31,68,53,45,,55.3,55,2,5,7,6,4,4,11,10,6,1,5,0
2022,929,Davidson,10,64,41,38,35,,36.5,37,50,41,55,,48.7,47,0,1,2,2,4,3,6,5,9,1,11,0
2022,928,Delaware,15,64,137,105,135,,120,120,149,145,147,,147,150,0,0,0,2,1,4,1,6,8,4,12,2
2022,927,Duke,2,4,12,14,11,,12.5,12,11,12,11,,11.3,12,3,1,6,2,6,3,12,5,8,1,8,0
2022,926,Georgia St.,16,64,159,148,139,,143.5,141,136,151,142,,143,146,0,0,0,1,0,1,0,2,7,6,8,2
