YEAR,TEAM NO,TEAM,SEED,ROUND,PRESEASON KADJ EM RANK,PRESEASON KADJ EM,PRESEASON KADJ O,PRESEASON KADJ O RANK,PRESEASON KADJ D,PRESEASON KADJ D RANK,PRESEASON KADJ T,PRESEASON KADJ T RANK,KADJ EM RANK CHANGE,KADJ EM CHANGE,KADJ T CHANGE
2025,1147,Akron,13,64,130,2.94,102.6,143,99.7,126,69.7,291,31,3.63,1.6
2025,1146,Alabama,2,8,4,25.61,118.7,1,93.1,30,75,3,-2,4.32,-0.1
2025,1145,Alabama St.,16,64,280,-8.7,95.2,308,103.9,227,70.9,190,7,-0.54,-3.1
2025,1144,American,16,68,232,-5.32,100.4,187,105.7,277,67.7,357,-5,-0.65,-4.2
2025,1143,Arizona,4,16,8,23.83,114.5,11,90.7,9,74.6,6,-6,1.9,-4.7
2025,1142,Arkansas,10,16,25,18.41,110.6,37,92.2,21,73.2,32,-15,-0.7,-3.9
2025,1141,Auburn,1,4,3,26.2,115.5,9,89.3,5,72.6,58,-1,8.85,-5.1
2025,1140,Baylor,9,32,11,23.22,115.5,7,92.3,23,69.8,285,-18,-2.07,-5.3
2025,1139,Bryant,15,64,147,0.87,99.5,218,98.7,104,75.6,1,-2,0.31,-3.1
2025,1138,BYU,6,16,21,19.18,112.3,19,93.2,31,71.6,125,-3,3.21,-4.4
2025,1137,Clemson,5,64,24,18.55,112.1,22,93.5,36,70,265,6,5.38,-5.8
2025,1136,Colorado St.,12,32,77,10.99,106.9,81,95.9,75,70.1,257,35,6.3,-4.1
2025,1135,Connecticut,8,32,5,25.51,115.4,10,89.9,6,69.1,325,-30,-6.17,-5.4
2025,1134,Creighton,9,32,12,23.06,115.7,3,92.7,26,70.7,205,-25,-4.35,-3.7
2025,1133,Drake,11,32,133,2.73,102.2,150,99.5,118,71.2,157,75,11.41,-12.4
2025,1132,Duke,1,4,2,26.54,115.5,8,89,3,69.9,278,1,11.62,-4.2
2025,1131,Florida,1,1,26,18.38,112.1,20,93.8,38,73.6,23,24,17.78,-4
2025,1130,Georgia,9,64,65,12.3,107,80,94.7,51,71.4,138,31,7.09,-5
2025,1129,Gonzaga,8,32,9,23.38,117.6,2,94.2,44,72.8,48,0,3.91,-2.6
2025,1128,Grand Canyon,13,64,55,14.07,109.7,47,95.7,67,70.9,189,-38,-6.85,0.5
2025,1127,High Point,13,64,108,5.24,107.9,66,102.7,188,71.8,119,24,4.07,-5.4
2025,1126,Houston,1,2,1,29.42,115.6,5,86.2,1,67.8,356,-2,6.02,-6.4
2025,1125,Illinois,6,32,23,18.68,112.6,16,93.9,40,72.4,76,3,4.88,-1.1
2025,1124,Iowa St.,3,32,6,24.43,112.5,17,88,2,70.2,243,-4,2.56,-1.6
2025,1123,Kansas,7,64,7,24.41,115.7,4,91.2,10,72.1,93,-14,-1.15,-3.7
2025,1122,Kentucky,3,16,43,15.59,111.4,29,95.8,71,72.6,61,27,8.66,-1.7
2025,1121,Liberty,12,64,106,5.65,104.4,114,98.8,105,68.4,343,44,7.88,-3
2025,1120,Lipscomb,14,64,137,2.14,105.4,102,103.3,207,72,100,54,7.34,-6.1
2025,1119,Louisville,8,64,64,12.38,108.1,64,95.7,70,73.5,24,41,10.26,-4.8
2025,1118,Marquette,7,64,22,19.16,112.1,21,92.9,27,72,105,-6,2.42,-4.4
2025,1117,Maryland,4,16,38,16.64,107.1,79,90.5,8,69.5,305,26,9.71,0.3
2025,1116,McNeese St.,12,32,103,6.09,105.7,100,99.6,124,70.6,209,44,7.6,-5.3
2025,1115,Memphis,5,64,42,15.72,109.9,46,94.1,42,74,16,-9,-0.37,-3.2
2025,1114,Michigan,5,16,36,16.94,111.2,34,94.3,45,71.3,148,11,5.33,-1.9
2025,1113,Michigan St.,2,8,35,17,108.9,56,91.8,15,69.6,302,27,10.57,-1.9
2025,1112,Mississippi,6,16,46,15.34,113.5,15,98.1,96,69.9,273,20,6.75,-1.9
2025,1111,Mississippi St.,8,64,32,17.92,111.4,30,93.4,35,69.8,289,,2.18,-1.6
2025,1110,Missouri,6,64,52,14.5,110.4,39,95.9,72,70.5,220,37,9.92,-2.3
2025,1109,Montana,14,64,178,-1.2,103.2,133,104.4,242,69.6,299,21,1.58,-2.6
2025,1108,Mount St. Mary's,16,64,269,-7.77,95.4,305,103.2,204,71.6,126,19,1.1,-4.3
2025,1107,Nebraska Omaha,15,64,319,-12.45,96,285,108.5,338,71,180,163,12.96,-3.3
2025,1106,New Mexico,10,32,62,12.71,107.6,70,94.9,54,74.3,11,21,4.61,-1.6
2025,1105,Norfolk St.,16,64,231,-5.28,99.1,227,104.4,241,70,271,51,3.75,-3.6
2025,1104,North Carolina,11,64,15,22.08,114,14,92,18,73.1,38,-18,-2.53,-2.7
2025,1103,Oklahoma,9,64,40,16.16,108.6,59,92.4,24,70,272,2,2.2,-1.4
2025,1102,Oregon,5,32,29,18.13,111.5,27,93.4,33,70.5,219,-2,2.02,-2.9
2025,1101,Purdue,4,16,10,23.37,115.6,6,92.3,22,69.9,276,-9,0.47,-5
2025,1100,Robert Morris,15,64,287,-9.31,96.5,278,105.9,283,70.4,231,148,11.4,-2.6
2025,1099,Saint Francis,16,68,351,-17.09,92.1,345,109.2,348,70.1,252,40,4.33,-3.2
2025,1098,Saint Mary's,7,32,34,17.01,110,44,93,28,66.8,361,12,6.08,-5.1
