YEAR,TEAM NO,TEAM,SEED,ROUND,RPPF RATING RANK,RPPF RATING,NPB RATING RANK,NPB RATING,RADJ O RANK,RADJ O,RADJ D RANK,RADJ D,RADJ EM RANK,RADJ EM,R PACE RANK,R PACE,R SOS RANK,R SOS,STROE RANK,STROE,STRDE RANK,STRDE,STRT+ RANK,STREM RANK,STREM,STREM RANK 2
2024,1018,Vermont,13,64,114,0.7047,118,0.8041,175,106.2,49,99.5,103,6.7,349,63.3,233,0.5609,201,75.12,112,97.03,104,102,-21.91,146
2024,1017,Virginia,10,68,98,0.7355,111,0.8075,204,104.8,6,92.7,67,12.1,362,60,79,0.7211,288,68.13,66,92.69,55,54,-24.56,165
2024,1016,Wagner,16,64,305,0.4272,298,0.5874,339,94.4,150,105.4,294,-11,361,61.3,360,0.4391,354,57.42,299,111.04,312,300,-53.62,345
2024,1015,Washington St.,7,32,45,0.829,42,0.8918,68,113.3,25,96.8,42,16.5,313,64.9,86,0.7076,84,85.82,49,90.9,38,42,-5.08,61
2024,1014,Western Kentucky,15,64,127,0.6854,107,0.812,170,106.4,114,103.4,132,3,1,75.2,237,0.56,97,84.04,22,87.45,80,137,-3.41,51
2024,1013,Wisconsin,5,64,22,0.873,25,0.9119,14,120.2,38,98.8,17,21.4,303,65.2,4,0.7923,28,93.95,91,94.65,44,14,-0.7,43
2024,1012,Yale,13,32,82,0.7648,89,0.8386,93,111,84,101.3,83,9.7,329,64.5,139,0.6233,121,81.59,137,98.98,102,76,-17.39,120
2023,1011,Alabama,1,16,3,0.9631,3,0.9755,16,117.6,4,88.8,2,28.8,4,72.7,10,0.7837,9,98.16,2,71.67,3,4,26.49,2
2023,1010,Arizona,2,64,5,0.9543,6,0.9578,4,121,43,97.2,10,23.8,9,72.3,32,0.7531,2,104.94,15,82.99,8,12,21.95,3
2023,1009,Arizona St.,11,64,56,0.8075,65,0.8636,124,107.7,30,95.4,70,12.3,123,68.5,43,0.743,117,80.04,24,84.75,40,71,-4.71,54
2023,1008,Arkansas,8,16,16,0.8882,19,0.9111,46,113.2,17,94,21,19.2,53,69.7,18,0.7652,36,88.89,11,81.85,11,24,7.04,16
2023,1007,Auburn,9,32,24,0.8646,29,0.8904,42,113.4,30,95.4,29,18,164,67.7,22,0.7603,49,87.23,26,85.36,26,32,1.87,25
2023,1006,Baylor,3,32,15,0.8885,24,0.8987,2,122.1,96,101.4,15,20.7,216,66.5,3,0.8113,6,100.78,112,96.22,62,15,4.56,20
2023,1005,Boise St.,10,64,41,0.8348,31,0.89,71,111.4,17,94,31,17.4,216,66.5,56,0.7356,88,82.52,27,85.45,22,29,-2.93,49
2023,1004,Colgate,15,64,100,0.7314,104,0.817,51,112.8,222,107.6,114,5.2,148,68,324,0.5111,54,86.78,220,104.92,163,113,-18.14,118
2023,1003,College of Charleston,12,64,71,0.7913,50,0.8733,72,111.3,64,98.8,66,12.5,28,70.9,276,0.5423,44,87.88,45,88.95,58,76,-1.07,37
2023,1002,Connecticut,4,1,2,0.964,1,0.9852,7,119.5,15,93.7,4,25.8,212,66.6,48,0.7388,10,97.82,20,83.84,7,6,13.98,7
2023,1001,Creighton,6,8,14,0.8917,16,0.9196,25,115.2,19,94.1,13,21.1,148,68,11,0.7755,22,91.24,13,82.64,8,14,8.6,12
2023,1000,Drake,12,64,69,0.7936,76,0.8523,88,110.3,43,97.2,63,13.1,221,66.4,201,0.589,112,80.45,58,91.04,57,61,-10.59,78
2023,999,Duke,5,32,19,0.8827,23,0.8998,40,113.5,21,94.2,20,19.3,286,65.3,60,0.7336,69,84.26,42,88.51,27,17,-4.25,53
2023,998,Fairleigh Dickinson,16,32,304,0.4234,276,0.6205,161,105.5,361,118.8,313,-13.3,111,68.7,363,0.408,136,78.08,357,119.97,342,310,-41.89,289
2023,997,Florida Atlantic,9,4,22,0.8732,12,0.9257,30,114.6,35,95.9,25,18.7,123,68.5,133,0.6363,31,89.74,31,86.48,22,25,3.26,21
2023,996,Furman,13,32,92,0.7558,98,0.825,32,114.5,188,106,91,8.5,131,68.4,241,0.5622,30,89.78,172,100.75,123,90,-10.97,80
2023,995,Gonzaga,3,8,7,0.9396,11,0.9312,1,125.1,74,99.7,6,25.4,45,70.1,50,0.738,1,110.01,39,88.18,19,9,21.83,4
2023,994,Grand Canyon,14,64,110,0.7145,110,0.8016,55,112.4,197,106.5,109,5.9,286,65.3,121,0.6491,81,83.17,237,106.07,171,108,-22.9,151
2023,993,Houston,1,16,1,0.9852,2,0.9807,12,118.1,3,88.7,1,29.4,342,63.4,79,0.7113,23,90.8,1,52.34,1,1,38.46,1
