YEAR,TEAM NO,TEAM,SEED,ROUND,RPPF PRESEASON RANK,PRESEASON RPPF RATING,RPPF RATING CHANGE RANK,RPPF RATING CHANGE,RPPF RATING RANK CHANGE RANK
2023,988,Iowa,8,64,21,0.846,234,-0.0111,-19
2023,987,Iowa St.,6,64,48,0.7967,125,0.0514,19
2023,986,Kansas,1,32,10,0.8945,142,0.0395,2
2023,985,Kansas St.,3,8,42,0.8087,147,0.0368,10
2023,984,Kennesaw St.,14,64,225,0.5216,9,0.1782,109
2023,983,Kent St.,13,64,119,0.6922,47,0.105,55
2023,982,Kentucky,6,32,4,0.9241,300,-0.0629,-21
2023,981,Louisiana Lafayette,13,64,130,0.6693,98,0.0703,35
2023,980,Marquette,2,32,71,0.7562,10,0.1759,62
2023,979,Maryland,8,32,46,0.7979,130,0.0488,16
2023,978,Memphis,8,64,19,0.8466,103,0.0664,8
2023,977,Miami FL,5,4,36,0.8252,167,0.0273,10
2023,976,Michigan St.,7,16,26,0.8426,226,-0.0036,-11
2023,975,Mississippi St.,11,68,70,0.7576,136,0.0461,12
2023,974,Missouri,7,32,47,0.7978,158,0.0318,2
2023,973,Montana St.,14,64,131,0.6686,99,0.0698,35
2023,972,Nevada,11,68,161,0.6197,11,0.1751,94
2023,971,North Carolina St.,11,64,67,0.76,73,0.0847,34
2023,970,Northern Kentucky,16,64,169,0.6073,212,0.0037,-13
2023,969,Northwestern,7,32,86,0.7338,39,0.1122,55
2023,968,Oral Roberts,12,64,108,0.703,72,0.0858,35
2023,967,Penn St.,10,32,72,0.7556,96,0.0721,25
2023,966,Pittsburgh,11,32,116,0.6954,57,0.0954,44
2023,965,Princeton,15,16,202,0.5592,13,0.173,104
2023,964,Providence,11,64,65,0.7667,102,0.0671,23
2023,963,Purdue,1,64,31,0.8347,55,0.0968,21
2023,962,Saint Mary's,5,32,58,0.7828,52,0.0978,38
2023,961,San Diego St.,5,2,16,0.8616,172,0.0248,-1
2023,960,Southeast Missouri St.,16,68,310,0.4004,70,0.0868,48
2023,959,TCU,6,32,25,0.8427,205,0.0071,-3
2023,958,Tennessee,4,16,3,0.9343,271,-0.0354,-9
2023,957,Texas,2,8,6,0.9123,165,0.0288,0
2023,956,Texas A&M,7,64,29,0.8394,164,0.029,6
2023,955,Texas A&M Corpus Chris,16,64,190,0.58,178,0.0223,2
2023,954,Texas Southern,16,68,263,0.474,230,-0.0093,-12
2023,953,UC Santa Barbara,14,64,83,0.7407,274,-0.0372,-32
2023,952,UCLA,2,16,11,0.8911,107,0.0653,7
2023,951,UNC Asheville,15,64,181,0.596,201,0.0099,-4
2023,950,USC,10,64,45,0.8007,153,0.033,2
2023,949,Utah St.,10,64,50,0.7959,77,0.0822,29
2023,948,VCU,12,64,77,0.7521,126,0.0501,16
2023,947,Vermont,15,64,92,0.7248,239,-0.0135,-21
2023,946,Virginia,4,64,18,0.8521,240,-0.0137,-20
2023,945,West Virginia,9,64,40,0.8121,95,0.0735,22
2023,944,Xavier,3,16,23,0.843,121,0.0551,10
2022,943,Akron,13,64,132,0.6521,155,-0.0006,7
2022,942,Alabama,6,64,13,0.8566,223,-0.0382,-7
2022,941,Arizona,1,16,35,0.7983,20,0.1134,33
2022,940,Arkansas,4,8,24,0.8253,167,-0.0099,2
2022,939,Auburn,2,32,18,0.8371,121,0.0167,6
2022,938,Baylor,1,32,8,0.8851,147,0.0034,2
2022,937,Boise St.,8,64,72,0.7444,67,0.0475,41
2022,936,Bryant,16,68,183,0.5839,234,-0.0471,-26
2022,935,Cal St. Fullerton,15,64,208,0.5472,114,0.0223,30
